year,month,day,suffix,metadata,name
2022,6,26,2442,20220626_230545_46_2442,tricia
2022,6,26,2442,20220626_230547_73_2442,tricia
2022,5,23,248c,20220523_233911_91_248c,tricia
2022,5,3,2442,20220503_230733_78_2442,tricia
2022,4,5,2465,20220405_231046_33_2465,tricia
2022,4,3,241b,20220403_230417_48_241b,tricia
2022,3,24,2463,20220324_230642_90_2463,tricia
2022,3,24,2434,20220324_230922_13_2434,tricia
2022,3,16,2423,20220316_230421_95_2423,tricia
2022,2,26,2485,20220226_233905_93_2485,tricia
2022,2,8,245c,20220208_230809_55_245c,tricia
2022,1,17,227a,20220117_235349_46_227a,tricia
2022,1,17,227a,20220117_235351_77_227a,tricia
2022,1,8,2431,20220108_230932_57_2431,tricia
